iter	Logloss
0	0.6906286036
1	0.6887492539
2	0.6871307717
3	0.6849110252
4	0.682772156
5	0.6809961914
6	0.678855219
7	0.6761129901
8	0.6739698287
9	0.6719908731
10	0.6695847187
11	0.6674708976
12	0.6655065038
13	0.6633603985
14	0.6610533255
15	0.6590660943
16	0.6570622034
17	0.655079198
18	0.6534537838
19	0.6513931959
20	0.6494143542
21	0.6472526335
22	0.6448920879
23	0.6431657275
24	0.64069774
25	0.6386399695
26	0.6366375924
27	0.6348706549
28	0.6330835645
29	0.6315585728
30	0.6296214948
31	0.6279024803
32	0.625967461
33	0.623857383
34	0.6220305643
35	0.6201834154
36	0.6183599899
37	0.6167623849
38	0.6151703179
39	0.6131235476
40	0.6111236012
41	0.6093934465
42	0.6075920428
43	0.6056145806
44	0.6038891536
45	0.6025615846
46	0.6007192998
47	0.5989692814
48	0.5972787878
49	0.5952987565
50	0.5932889604
51	0.5914529401
52	0.5896652985
53	0.588218072
54	0.5864723467
55	0.5850988289
56	0.5835210205
57	0.5817179355
58	0.5799650839
59	0.5787135279
60	0.5768391206
61	0.5748347738
62	0.5733718605
63	0.5711790806
64	0.5696076802
65	0.567967464
66	0.5662506015
67	0.5649291761
68	0.5633752668
69	0.5617972437
70	0.5602821478
71	0.5588721693
72	0.557583172
73	0.5561909873
74	0.5544389184
75	0.5528470099
76	0.5510642885
77	0.5494982667
78	0.5480124672
79	0.5463107554
80	0.544709607
81	0.5430622863
82	0.5408900312
83	0.5392158071
84	0.5383292138
85	0.536833315
86	0.5351467816
87	0.5341056114
88	0.5328052974
89	0.5310617466
90	0.5294473243
91	0.5280301622
92	0.5261956578
93	0.5247810554
94	0.5232604806
95	0.5216137256
96	0.5198560664
97	0.5180690619
98	0.5165941195
99	0.514959131
100	0.5134854581
101	0.5120106975
102	0.5110298586
103	0.5096431978
104	0.5079787009
105	0.5065230999
106	0.5051740154
107	0.5037165361
108	0.5024049733
109	0.5010159955
110	0.4997256406
111	0.4982168532
112	0.4969380622
113	0.4956903144
114	0.4943006619
115	0.4932987256
116	0.4919200611
117	0.4904667102
118	0.4893638659
119	0.4879958152
120	0.4868375679
121	0.4851506657
122	0.4835750787
123	0.4824375702
124	0.4811463599
125	0.4801169983
126	0.4788478215
127	0.4777964394
128	0.4763499937
129	0.4749142268
130	0.4736882188
131	0.4724026709
132	0.4713025528
133	0.4703576425
134	0.4690716826
135	0.467889733
136	0.4666458053
137	0.4650636349
138	0.463857772
139	0.4626096323
140	0.4617008745
141	0.4606767392
142	0.4594322214
143	0.4583467829
144	0.4569627242
145	0.4557401807
146	0.4543389658
147	0.4531808126
148	0.452286817
149	0.4508707934
150	0.4498196918
151	0.4486835982
152	0.4474250358
153	0.4462083905
154	0.4453666009
155	0.4443036931
156	0.4430837595
157	0.4421883218
158	0.4410500887
159	0.4403887148
160	0.4391449687
161	0.4378817358
162	0.4367551877
163	0.4354943413
164	0.4343349857
165	0.433367122
166	0.4322826147
167	0.4313969809
168	0.430653517
169	0.4294452286
170	0.428534558
171	0.4275539092
172	0.4264633534
173	0.4253565123
174	0.4243485425
175	0.4234842171
176	0.4223385977
177	0.4212205732
178	0.420194971
179	0.4190821195
180	0.4180036038
181	0.4170702787
182	0.41589258
183	0.4149335581
184	0.4139708643
185	0.4129452698
186	0.4119020421
187	0.4107704222
188	0.4097183919
189	0.4084182166
190	0.4076415448
191	0.4067643741
192	0.4058403221
193	0.4046890442
194	0.4034808383
195	0.4024707649
196	0.4014073613
197	0.4005554461
198	0.3996178613
199	0.3988657594
200	0.3980202958
201	0.3971038227
202	0.3957908281
203	0.3952560076
204	0.3944120593
205	0.3936772146
206	0.3928733736
207	0.3919624546
208	0.3908842366
209	0.3897047713
210	0.3887069353
211	0.3879465034
212	0.3868451794
213	0.3860906215
214	0.3851127746
215	0.3840779607
216	0.3831272949
217	0.3820881201
218	0.3811425871
219	0.3801987043
220	0.3794076001
221	0.3785633444
222	0.3773677214
223	0.3764063792
224	0.3756949299
225	0.3748825066
226	0.3738753551
227	0.3730411683
228	0.3722806747
229	0.3714939016
230	0.3705343866
231	0.3696836063
232	0.3687398474
233	0.3679923136
234	0.3670947158
235	0.3662280559
236	0.3654957166
237	0.3648019851
238	0.3640275349
239	0.363243535
240	0.3621876438
241	0.3614787015
242	0.3605465717
243	0.3598138226
244	0.3589516791
245	0.3579899318
246	0.3569509558
247	0.356108626
248	0.3553529104
249	0.3546924698
250	0.3538987286
251	0.3533140576
252	0.3525606337
253	0.3521032147
254	0.3513003701
255	0.3504818634
256	0.3497103451
257	0.3489911781
258	0.3482254138
259	0.3473535467
260	0.346801608
261	0.3460416552
262	0.3451336576
263	0.3444568636
264	0.343832863
265	0.3430938744
266	0.3423700801
267	0.3415286368
268	0.3408472926
269	0.339970382
270	0.3392146183
271	0.3384720121
272	0.3376665399
273	0.3369207709
274	0.3362520384
275	0.3354381227
276	0.3344822728
277	0.3337403595
278	0.3328947522
279	0.332009889
280	0.3311120618
281	0.3307831967
282	0.3300484043
283	0.3291692967
284	0.3285921495
285	0.3279669445
286	0.3273626961
287	0.3268522547
288	0.3261279161
289	0.3254045209
290	0.3248138226
291	0.3240383675
292	0.3233196513
293	0.3225309927
294	0.3219236002
295	0.3214504178
296	0.3208211818
297	0.3200071403
298	0.3192580557
299	0.3186562062
